Episode,Agent,Market,Difference,Strategy Wins (%)
1,0.8089275552826407,1.2479541734860846,-0.4390266182034439,
2,0.7824250321910327,1.5388397246804322,-0.7564146924893995,
3,0.6760147160993628,0.6574999999999999,0.01851471609936295,
4,0.6765602021626062,1.1120178041543034,-0.43545760199169725,
5,0.8487124347373358,1.1548780487804877,-0.3061656140431519,
6,0.7855301443760977,0.5843195266272184,0.20121061774887927,
7,0.7483532710668397,0.8439947780678853,-0.09564150700104557,
8,0.9411661892033443,0.942088091353997,-0.000921902150652687,
9,0.6743036175904124,0.7672052663075991,-0.09290164871718676,
10,0.8757476435299889,0.8480926430517715,0.02765500047821745,
11,0.8287353623360625,1.2716763005780358,-0.44294093824197334,
12,0.6625008806603051,0.6847599164926931,-0.022259035832387974,
13,0.8991782809397509,1.0089285714285714,-0.10975029048882046,
14,0.7083966633613086,0.7908915971776778,-0.08249493381636919,
15,1.0319403465165622,1.2385661310259608,-0.2066257845093986,
16,0.6895269995604865,0.9311258278145698,-0.2415988282540833,
17,0.5948375814785445,1.23974358974359,-0.6449060082650455,
18,0.6249512837318235,1.2145862552594657,-0.5896349715276422,
19,0.5837316537206851,0.976878612716764,-0.3931469589960789,
20,0.807390149525992,0.9960185799601855,-0.18862843043419353,
21,0.7834715923725423,0.8069705093833779,-0.023498917010835618,
22,1.1346709140063227,0.6729824561403501,0.46168845786597257,
23,0.6682989814284496,0.6930926216640511,-0.02479364023560149,
24,0.8421828371602945,0.8464977645305525,-0.004314927370257959,
25,0.9350619495701419,0.6861413043478268,0.24892064522231505,
26,0.5337004455943151,0.7828282828282818,-0.2491278372339667,
27,0.6849535649568881,1.3584905660377367,-0.6735370010808486,
28,0.7023221551208708,0.9028049575994788,-0.20048280247860795,
29,1.102822858940173,0.9886822958771239,0.1141405630630491,
30,0.7698587844207742,0.811249999999999,-0.04139121557922487,
31,0.686496130485607,1.5245901639344301,-0.8380940334488232,
32,0.8843357416774859,1.547717842323651,-0.6633821006461652,
33,0.5668158071507889,0.7048693586698336,-0.13805355151904464,
34,0.7134735692701168,0.5950226244343888,0.11845094483572804,
